,split
810,train
811,train
812,train
813,train
814,train
815,train
816,train
817,train
818,test
819,train
820,train
821,train
822,test
823,train
824,train
825,val
826,test
827,train
828,test
829,train
830,train
831,train
832,train
833,test
834,train
835,train
836,train
837,val
838,train
839,train
840,train
841,train
842,train
843,val
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,val
855,train
856,train
857,test
858,test
859,train
860,val
861,train
862,val
863,test
864,test
865,train
866,train
867,train
868,val
869,train
870,train
871,train
872,train
873,train
874,val
875,train
876,test
877,train
878,val
879,train
880,train
881,val
882,train
883,val
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,test
893,val
894,train
895,train
896,train
897,train
898,train
899,test
900,train
901,val
902,train
903,train
904,val
905,train
906,train
907,train
908,train
909,train
910,train
911,train
912,train
913,val
914,val
915,test
916,train
917,train
918,val
919,train
920,train
921,val
922,train
923,train
924,train
925,test
926,train
927,train
928,train
929,val
930,train
931,val
932,train
933,train
934,train
935,train
936,train
937,val
938,train
939,train
940,test
941,train
942,train
943,train
944,test
945,test
946,val
947,train
948,train
949,train
950,train
951,test
952,train
953,train
954,train
955,train
956,train
957,test
958,val
959,train
960,train
961,train
962,test
963,train
964,test
965,train
966,test
967,train
968,train
969,train
970,train
971,test
972,train
973,val
974,train
975,train
976,train
977,train
978,train
979,test
980,train
981,val
982,train
983,train
984,val
985,train
986,train
987,train
988,train
989,test
990,val
991,train
992,train
993,val
994,train
995,train
996,train
997,train
998,train
999,train
1000,train
1001,train
1002,train
1003,test
1004,train
1005,train
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,test
1013,train
1014,test
1015,train
1016,train
1017,train
1018,train
1019,val
1020,val
1021,val
1022,train
1023,train
1024,val
1025,train
1026,train
1027,train
1028,val
1029,test
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,val
1037,train
1038,train
1039,train
1040,train
1041,train
1042,train
1043,val
1044,train
1045,test
1046,train
1047,train
1048,train
1049,train
1050,val
1051,train
1052,train
1053,test
1054,train
1055,train
1056,train
1057,test
1058,train
1059,test
1060,train
1061,train
1062,val
1063,train
1064,train
1065,train
1066,train
1067,train
1068,test
1069,train
1070,train
1071,train
1072,train
1073,val
1074,test
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,test
1086,train
1087,test
1088,train
1089,train
1090,train
1091,train
1092,val
1093,train
1094,test
1095,train
1096,train
1097,train
1098,train
1099,train
1100,train
1101,val
1102,val
1103,train
1104,train
1105,train
1106,val
1107,train
1108,test
1109,train
1110,train
1111,train
1112,train
1113,train
1114,train
1115,train
1116,test
1117,val
1118,test
1119,train
1120,train
1121,train
1122,test
1123,train
1124,train
1125,train
1126,train
1127,train
1128,test
1129,val
1130,val
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,val
1138,train
1139,train
1140,train
1141,val
1142,train
1143,train
1144,test
1145,train
1146,train
1147,train
1148,train
1149,test
1150,val
1151,train
1152,test
1153,test
1154,train
1155,train
1156,train
1157,train
1158,train
1159,train
1160,train
1161,train
1162,test
1163,train
1164,train
1165,test
1166,train
1167,train
1168,val
1169,train
1170,train
1171,train
1172,train
1173,train
1174,test
1175,train
1176,val
1177,val
1178,val
1179,test
1180,train
1181,val
1182,test
1183,train
1184,train
1185,train
1186,train
1187,train
1188,test
1189,test
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,val
1197,train
1198,train
1199,train
1200,train
1201,train
1202,val
1203,train
1204,val
1205,test
1206,train
1207,train
1208,val
1209,train
1210,train
1211,test
1212,val
1213,val
1214,test
1215,train
1216,train
1217,train
1218,train
1219,train
1220,train
1221,test
1222,train
1223,test
1224,train
1225,test
1226,train
1227,train
1228,val
1229,train
1230,train
1231,train
1232,train
1233,test
1234,train
1235,train
1236,train
1237,test
1238,train
1239,train
1240,test
1241,train
1242,train
1243,train
1244,test
1245,train
1246,val
1247,val
1248,train
1249,train
1250,train
1251,val
1252,val
1253,train
1254,train
1255,train
1256,train
1257,train
1258,test
1259,train
1260,train
1261,train
1262,train
1263,train
1264,val
1265,train
1266,train
1267,test
1268,test
1269,train
1270,train
1271,train
1272,train
1273,test
1274,val
1275,test
1276,val
1277,train
1278,train
1279,train
1280,train
1281,test
1282,train
1283,train
1284,train
1285,train
1286,train
1287,train
1288,test
1289,train
1290,train
1291,train
1292,train
1293,train
1294,train
1295,test
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,val
1303,train
1304,train
1305,val
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,test
1313,val
1314,test
1315,test
1316,train
1317,train
1318,train
1319,test
1320,train
1321,train
1322,test
1323,test
1324,train
1325,test
1326,train
1327,train
1328,train
1329,train
1330,test
1331,train
1332,test
1333,train
1334,val
1335,test
1336,test
1337,train
1338,train
1339,train
1340,test
1341,train
1342,train
1343,train
1344,val
1345,test
1346,val
1347,val
1348,train
1349,train
1350,test
1351,train
1352,val
1353,train
1354,train
1355,train
1356,train
1357,train
1358,val
1359,train
1360,val
1361,val
1362,train
1363,train
1364,train
1365,test
1366,train
1367,test
1368,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,test
1375,train
1376,val
1377,val
1378,train
1379,test
1380,train
1381,val
1382,train
1383,train
1384,val
1385,train
1386,val
1387,val
1388,train
1389,train
1390,train
1391,val
1392,train
1393,train
1394,val
1395,val
1396,test
1397,train
1398,train
1399,val
1400,train
1401,val
1402,train
1403,val
1404,test
1405,val
1406,train
1407,train
1408,val
1409,train
1410,train
1411,test
1412,val
1413,test
1414,train
1415,train
1416,train
1417,train
1418,train
1419,val
1420,train
1421,test
1422,train
1423,train
1424,train
1425,train
1426,train
1427,val
1428,test
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,val
1436,train
1437,train
1438,train
1439,train
1440,train
1441,train
1442,val
1443,test
1444,test
1445,train
1446,train
1447,train
1448,val
1449,train
1450,train
1451,test
1452,val
1453,train
1454,train
1455,train
1456,test
1457,val
1458,val
1459,train
1460,train
1461,val
1462,val
1463,train
1464,train
1465,val
1466,val
1467,test
1468,train
1469,test
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,val
1477,train
1478,val
1479,train
1480,train
1481,train
1482,train
1483,train
1484,test
1485,train
1486,train
1487,test
1488,train
1489,train
1490,val
1491,train
1492,train
1493,val
1494,train
1495,val
1496,train
1497,train
1498,train
1499,train
1500,train
1501,train
1502,train
1503,train
1504,train
1505,val
1506,train
1507,train
1508,train
1509,train
1510,val
1511,val
1512,test
1513,train
1514,train
1515,val
1516,train
1517,train
1518,train
1519,val
1520,train
1521,train
1522,train
1523,train
1524,val
1525,train
1526,train
1527,train
1528,train
1529,train
1530,val
1531,val
1532,train
1533,test
1534,test
1535,train
1536,train
1537,train
1538,val
1539,train
1540,val
1541,train
1542,train
1543,test
1544,train
1545,train
1546,test
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,val
1554,val
1555,train
1556,train
1557,test
1558,train
1559,train
1560,train
1561,train
1562,train
1563,train
1564,test
1565,val
1566,train
1567,train
1568,train
1569,val
1570,train
1571,val
1572,test
1573,test
1574,train
1575,train
1576,val
1577,val
1578,train
1579,val
1580,val
1581,test
1582,train
1583,test
1584,val
1585,train
1586,train
1587,train
1588,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,val
1595,train
1596,train
1597,train
1598,train
1599,test
1600,train
1601,train
1602,train
1603,train
1604,test
1605,train
1606,val
1607,val
1608,val
1609,train
1610,train
1611,val
1612,val
1613,test
1614,train
1615,train
1616,train
1617,train
1618,train
1619,train
1620,test
1621,test
1622,val
1623,train
1624,val
1625,test
1626,train
1627,test
1628,train
1629,test
1630,train
1631,train
1632,val
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,test
1640,val
1641,val
1642,val
1643,test
1644,train
1645,val
1646,val
1647,train
1648,train
1649,train
1650,train
1651,test
1652,test
1653,train
1654,train
1655,train
1656,train
1657,test
1658,val
1659,train
1660,val
1661,train
1662,train
1663,train
1664,train
1665,val
1666,train
1667,val
1668,train
1669,test
1670,train
1671,train
1672,train
1673,train
1674,train
1675,train
1676,val
1677,train
1678,train
1679,train
1680,val
1681,val
1682,train
1683,train
1684,train
1685,train
1686,train
1687,test
1688,train
1689,train
1690,train
1691,train
1692,train
1693,test
1694,train
1695,val
1696,train
1697,test
1698,train
1699,train
1700,train
1701,train
1702,train
1703,val
1704,val
1705,train
1706,train
1707,train
1708,train
1709,val
1710,test
1711,test
1712,val
1713,train
1714,train
1715,train
1716,val
1717,train
1718,test
1719,train
1720,train
1721,train
1722,val
1723,train
1724,train
1725,train
1726,train
1727,train
1728,train
1729,val
1730,test
1731,train
1732,train
1733,train
1734,train
1735,train
1736,train
1737,train
1738,train
1739,train
1740,val
1741,test
1742,val
1743,train
1744,test
1745,train
1746,train
1747,train
1748,val
1749,train
1750,train
1751,test
1752,val
1753,train
1754,train
1755,train
1756,val
1757,train
1758,train
1759,val
1760,train
1761,val
1762,train
1763,test
1764,train
1765,test
1766,train
1767,test
1768,val
1769,train
1770,test
1771,val
1772,train
1773,train
1774,train
1775,train
1776,train
1777,train
1778,test
1779,train
1780,train
1781,train
1782,train
1783,train
1784,train
1785,train
1786,train
1787,test
1788,train
1789,val
1790,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,train
1799,train
1800,train
1801,train
1802,train
1803,train
1804,val
1805,train
1806,train
1807,train
1808,val
1809,train
1810,train
1811,train
1812,train
1813,test
1814,train
1815,train
1816,test
1817,train
1818,train
1819,train
1820,test
1821,train
1822,train
1823,val
1824,train
1825,val
1826,train
1827,train
1828,train
1829,train
1830,train
1831,train
1832,val
1833,train
1834,test
1835,train
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,test
1843,test
1844,val
1845,train
1846,train
1847,test
1848,train
1849,val
1850,train
1851,train
1852,test
1853,train
1854,train
1855,train
1856,val
1857,train
1858,test
1859,test
1860,train
1861,test
1862,test
1863,train
1864,train
1865,train
1866,train
1867,test
1868,train
1869,train
1870,val
1871,test
1872,test
1873,train
1874,train
1875,val
1876,train
1877,test
1878,train
1879,train
1880,train
1881,val
1882,train
1883,train
1884,train
1885,train
1886,train
1887,train
1888,train
1889,train
1890,test
1891,train
1892,train
1893,train
1894,train
1895,train
1896,train
1897,test
1898,val
1899,train
1900,train
1901,train
1902,train
1903,train
1904,train
1905,val
1906,train
1907,val
1908,val
1909,train
1910,test
1911,train
1912,train
1913,train
1914,train
1915,train
1916,train
1917,test
1918,test
1919,train
1920,val
1921,train
1922,train
1923,train
1924,train
1925,train
1926,test
1927,train
1928,train
1929,train
1930,train
1931,train
1932,val
1933,test
1934,test
1935,train
1936,train
1937,train
1938,train
1939,test
1940,val
1941,test
1942,val
1943,train
1944,train
1945,train
1946,train
1947,train
1948,train
1949,test
1950,train
1951,train
1952,train
1953,test
1954,val
1955,val
1956,train
1957,test
1958,train
1959,train
1960,train
1961,train
1962,train
1963,val
1964,train
1965,train
1966,train
1967,val
1968,train
1969,val
1970,train
1971,train
1972,test
1973,train
1974,val
1975,train
1976,train
1977,train
1978,train
1979,train
1980,train
1981,train
1982,train
1983,train
1984,train
1985,test
1986,train
1987,train
1988,train
1989,train
1990,train
1991,test
1992,test
1993,train
1994,train
1995,train
1996,train
1997,train
1998,train
1999,train
2000,train
2001,train
2002,test
2003,train
2004,val
2005,train
2006,train
2007,train
2008,train
2009,train
2010,test
2011,val
2012,train
2013,train
2014,test
2015,train
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2023,test
2024,train
2025,train
2026,train
2027,train
2028,train
2029,val
2030,train
2031,train
2032,val
2033,train
2034,train
2035,test
2036,train
2037,train
2038,train
2039,test
2040,val
2041,train
2042,train
2043,val
2044,test
2045,val
2046,train
2047,train
2048,test
2049,val
2050,test
2051,test
2052,train
2053,val
2054,train
2055,test
2056,test
2057,test
2058,train
2059,train
2060,train
2061,train
2062,test
2063,train
2064,train
2065,test
2066,train
2067,test
2068,val
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,train
2076,train
2077,test
2078,train
2079,train
2080,train
2081,test
2082,val
2083,val
2084,train
2085,train
2086,train
2087,val
2088,train
2089,train
2090,val
2091,test
2092,train
2093,train
2094,train
2095,train
2096,train
2097,val
2098,train
2099,train
2100,train
2101,train
2102,train
2103,train
2104,train
2105,train
2106,val
2107,train
2108,train
2109,train
2110,test
2111,test
2112,test
2113,test
2114,train
2115,train
2116,train
2117,train
2118,train
2119,test
2120,val
2121,train
2122,test
2123,train
2124,train
2125,val
2126,train
2127,train
2128,test
2129,train
2130,train
2131,test
2132,test
2133,val
2134,train
2135,train
2136,train
2137,train
2138,train
2139,train
2140,test
2141,train
2142,train
2143,test
2144,train
2145,train
2146,train
2147,test
2148,train
2149,train
2150,train
2151,val
2152,train
2153,test
2154,train
2155,val
2156,train
2157,train
2158,val
2159,train
2160,train
2161,train
2162,train
2163,train
2164,train
2165,train
2166,val
2167,test
2168,test
2169,train
2170,test
2171,train
2172,train
2173,train
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,train
2183,val
2184,train
2185,train
2186,train
2187,train
2188,train
2189,train
2190,train
2191,train
2192,val
2193,val
2194,train
2195,train
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,train
2203,train
2204,train
2205,train
2206,test
2207,train
2208,train
2209,train
2210,val
2211,train
2212,train
2213,train
2214,train
2215,val
2216,train
2217,train
2218,test
2219,train
2220,train
2221,train
2222,train
2223,train
2224,test
2225,train
2226,train
2227,train
2228,train
2229,train
2230,val
2231,train
2232,test
2233,val
2234,test
2235,train
2236,test
2237,train
2238,train
2239,val
2240,train
2241,train
2242,train
2243,train
2244,train
2245,train
2246,train
2247,test
2248,train
2249,val
2250,train
2251,test
2252,train
2253,val
2254,train
2255,val
2256,train
2257,train
2258,train
2259,train
2260,train
2261,train
2262,train
2263,test
2264,train
2265,train
2266,train
2267,train
2268,train
2269,train
2270,train
2271,test
2272,val
2273,train
2274,train
2275,val
2276,val
2277,train
2278,train
2279,val
2280,train
2281,train
2282,val
2283,train
2284,train
2285,train
2286,train
2287,train
2288,val
2289,train
2290,val
2291,train
2292,train
2293,val
2294,train
2295,train
2296,train
2297,train
2298,train
2299,val
2300,val
2301,test
2302,train
2303,test
2304,train
2305,val
2306,train
2307,train
2308,train
2309,test
2310,train
2311,train
2312,train
2313,val
2314,train
2315,train
2316,train
2317,test
2318,train
2319,val
2320,train
2321,test
2322,train
2323,val
2324,val
2325,val
2326,val
2327,train
2328,test
2329,train
2330,train
2331,train
2332,test
2333,train
2334,train
2335,test
2336,train
2337,train
2338,train
2339,val
2340,train
2341,train
2342,val
2343,test
2344,train
2345,train
2346,train
2347,test
2348,train
2349,val
2350,train
2351,train
2352,train
2353,train
2354,train
2355,test
2356,train
2357,train
2358,train
2359,train
2360,train
2361,train
2362,train
2363,test
2364,train
2365,test
2366,train
2367,train
2368,val
2369,train
2370,train
2371,train
2372,train
2373,train
2374,test
2375,train
2376,train
2377,train
2378,train
2379,train
2380,train
2381,train
2382,train
2383,train
2384,train
2385,train
2386,test
2387,train
2388,train
2389,train
2390,train
2391,test
2392,train
2393,train
2394,train
2395,train
2396,train
2397,val
2398,train
2399,train
2400,train
2401,val
2402,train
2403,train
2404,train
2405,train
2406,train
2407,train
2408,train
2409,val
2410,train
2411,train
2412,train
2413,train
2414,train
2415,train
2416,train
2417,val
2418,train
2419,train
2420,test
2421,train
2422,test
2423,test
2424,train
2425,val
2426,train
2427,val
2428,train
2429,train
2430,test
2431,test
2432,test
2433,train
2434,val
2435,train
2436,test
2437,test
2438,val
2439,test
2440,val
2441,train
2442,train
2443,train
2444,test
2445,val
2446,train
2447,test
2448,train
2449,train
2450,train
2451,train
2452,train
2453,val
2454,train
2455,train
2456,train
2457,test
2458,train
2459,train
2460,val
2461,test
2462,train
2463,train
2464,train
2465,test
2466,val
2467,test
2468,test
2469,train
2470,train
2471,train
2472,test
2473,train
2474,val
2475,train
2476,val
2477,train
2478,val
2479,val
2480,train
2481,train
2482,train
2483,train
2484,train
2485,train
2486,train
2487,test
2488,train
2489,train
2490,train
2491,train
2492,train
2493,train
2494,train
2495,train
2496,train
2497,test
2498,train
2499,train
2500,train
2501,train
2502,train
2503,train
2504,val
2505,train
2506,train
2507,train
2508,val
2509,test
2510,test
2511,val
2512,test
2513,train
2514,train
2515,train
2516,test
2517,val
2518,val
2519,train
2520,test
2521,train
2522,train
2523,train
2524,test
2525,train
2526,train
2527,train
2528,test
2529,train
2530,train
2531,val
2532,train
2533,train
2534,train
2535,train
2536,test
2537,train
2538,test
2539,train
2540,test
2541,train
2542,test
2543,train
2544,train
2545,train
2546,train
2547,test
2548,test
2549,train
2550,train
2551,train
2552,train
2553,train
2554,val
2555,train
2556,val
2557,train
2558,train
2559,train
2560,test
2561,test
2562,train
2563,train
2564,val
2565,train
2566,train
2567,train
2568,train
2569,train
2570,train
2571,train
2572,train
2573,test
2574,train
2575,train
2576,train
2577,val
2578,val
2579,train
2580,test
2581,train
2582,train
2583,train
2584,test
2585,val
2586,train
2587,train
2588,test
2589,train
2590,test
2591,test
2592,train
2593,train
2594,train
2595,train
2596,train
2597,test
2598,train
2599,val
2600,test
2601,test
2602,train
2603,test
2604,train
2605,test
2606,train
2607,train
2608,train
2609,train
2610,train
2611,train
2612,train
2613,train
2614,train
2615,train
2616,val
2617,train
2618,train
2619,train
2620,val
2621,val
2622,train
2623,val
2624,train
2625,train
2626,train
2627,train
2628,train
2629,train
2630,train
2631,train
2632,test
2633,val
2634,train
2635,train
2636,test
2637,val
2638,test
2639,train
2640,train
2641,train
2642,train
2643,train
2644,test
2645,test
2646,val
2647,test
2648,test
2649,train
2650,val
2651,train
2652,train
2653,train
2654,train
2655,train
2656,train
2657,train
2658,train
2659,train
2660,val
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,test
2671,train
2672,train
2673,test
2674,val
2675,train
2676,train
2677,train
2678,train
2679,test
2680,train
2681,train
2682,test
2683,train
2684,train
2685,train
2686,train
2687,train
2688,train
2689,test
2690,train
2691,val
2692,train
2693,train
2694,train
2695,train
2696,test
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,train
2706,train
2707,train
2708,train
2709,train
2710,train
2711,train
2712,val
2713,train
2714,train
2715,val
2716,val
2717,train
2718,train
2719,val
2720,train
2721,train
2722,test
2723,train
2724,train
2725,train
2726,val
2727,train
2728,test
2729,train
2730,train
2731,train
2732,train
2733,train
2734,train
2735,train
2736,train
2737,train
2738,train
2739,train
2740,train
2741,train
2742,val
2743,train
2744,train
2745,train
2746,val
2747,val
2748,train
2749,train
2750,train
2751,train
2752,test
2753,val
2754,val
2755,train
2756,train
2757,train
2758,train
2759,train
2760,train
2761,train
2762,train
2763,test
2764,train
2765,train
2766,test
2767,train
2768,train
2769,train
2770,train
2771,train
2772,train
2773,train
2774,train
2775,train
2776,train
2777,train
2778,train
2779,test
2780,train
2781,val
2782,train
2783,train
2784,train
2785,train
2786,test
2787,test
2788,train
2789,train
2790,test
2791,val
2792,train
2793,train
2794,test
2795,train
2796,train
2797,test
2798,train
2799,train
2800,train
2801,val
2802,train
2803,test
2804,test
2805,test
2806,train
2807,val
2808,train
2809,val
2810,train
2811,train
2812,train
2813,train
2814,val
2815,train
2816,train
2817,train
2818,train
2819,train
2820,train
2821,train
2822,train
2823,test
2824,train
2825,val
2826,train
2827,test
2828,test
2829,train
2830,train
2831,train
2832,train
2833,train
2834,val
2835,train
2836,test
2837,train
2838,train
2839,train
2840,test
2841,test
2842,train
2843,train
2844,train
2845,train
2846,test
2847,train
2848,train
2849,train
2850,train
2851,val
2852,train
2853,train
2854,train
2855,train
2856,train
2857,test
2858,train
2859,train
2860,train
2861,train
2862,train
2863,train
2864,train
2865,train
2866,train
2867,train
2868,train
2869,train
2870,test
2871,train
2872,train
2873,train
2874,train
2875,train
2876,train
2877,val
2878,val
2879,train
2880,train
2881,train
2882,train
2883,train
2884,train
2885,test
2886,train
2887,train
2888,train
2889,test
2890,train
2891,train
2892,test
2893,train
2894,test
2895,test
2896,val
2897,train
2898,train
2899,train
2900,train
2901,test
2902,val
2903,val
2904,test
2905,train
2906,train
2907,train
2908,val
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,train
2916,train
2917,val
2918,train
2919,train
2920,train
2921,train
2922,train
2923,train
2924,train
2925,val
2926,test
2927,train
2928,train
2929,train
2930,test
2931,val
2932,test
2933,train
2934,train
2935,val
2936,train
2937,train
2938,train
2939,train
2940,train
2941,test
2942,train
2943,train
2944,test
2945,test
2946,test
2947,train
2948,train
2949,train
2950,test
2951,train
2952,train
2953,train
2954,test
2955,train
2956,train
2957,train
2958,train
2959,test
2960,test
2961,train
2962,val
2963,test
2964,train
2965,val
2966,val
2967,train
2968,val
2969,train
2970,test
2971,train
2972,train
2973,train
2974,train
2975,train
2976,train
2977,train
2978,test
2979,train
2980,val
2981,train
2982,train
2983,train
2984,train
2985,train
2986,train
2987,train
2988,train
2989,train
2990,val
2991,train
2992,train
2993,train
2994,train
2995,test
2996,train
2997,train
